iter	Passed	Remaining
0	10	1670
1	19	1570
2	28	1535
3	37	1499
4	48	1512
5	61	1597
6	73	1623
7	83	1614
8	93	1585
9	102	1552
10	111	1532
11	120	1509
12	129	1487
13	139	1471
14	148	1451
15	157	1434
16	166	1416
17	175	1400
18	184	1385
19	193	1370
20	202	1357
21	210	1342
22	219	1329
23	228	1315
24	237	1302
25	246	1289
26	255	1278
27	264	1265
28	273	1254
29	282	1242
30	291	1231
31	300	1221
32	309	1211
33	318	1200
34	328	1191
35	337	1180
36	346	1170
37	355	1161
38	364	1150
39	373	1139
40	383	1131
41	392	1121
42	401	1111
43	410	1102
44	420	1093
45	429	1082
46	438	1072
47	447	1062
48	456	1053
49	466	1044
50	475	1034
51	484	1024
52	493	1014
53	502	1004
54	511	994
55	521	986
56	530	976
57	539	967
58	548	957
59	557	947
60	566	938
61	575	928
62	585	919
63	594	910
64	603	901
65	613	893
66	625	887
67	636	879
68	646	870
69	655	861
70	665	852
71	674	843
72	683	833
73	692	823
74	702	814
75	711	805
76	721	796
77	730	786
78	739	776
79	748	767
80	757	757
81	767	748
82	777	739
83	786	730
84	795	721
85	805	711
86	814	702
87	823	692
88	832	682
89	842	673
90	851	664
91	860	654
92	869	645
93	879	635
94	888	626
95	898	617
96	906	607
97	916	598
98	925	588
99	934	579
100	944	570
101	953	560
102	962	551
103	971	541
104	980	532
105	990	523
106	999	513
107	1008	504
108	1017	494
109	1026	485
110	1035	475
111	1045	466
112	1054	457
113	1063	447
114	1072	438
115	1082	429
116	1091	419
117	1100	410
118	1109	401
119	1119	391
120	1128	382
121	1137	373
122	1147	363
123	1156	354
124	1165	345
125	1174	335
126	1183	326
127	1192	316
128	1202	307
129	1211	298
130	1220	288
131	1229	279
132	1238	270
133	1247	260
134	1256	251
135	1265	242
136	1275	232
137	1284	223
138	1293	214
139	1303	204
140	1313	195
141	1322	186
142	1331	176
143	1340	167
144	1350	158
145	1359	149
146	1369	139
147	1379	130
148	1388	121
149	1397	111
150	1407	102
151	1416	93
152	1426	83
153	1435	74
154	1445	65
155	1454	55
156	1463	46
157	1473	37
158	1482	27
159	1492	18
160	1501	9
161	1511	0
